epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6966,1.30767,2.54735,1.14764,0.8282,0.76087,0.79661,0.54147,1.0907,1.896,1.42218,0.000660714,0.000660714,0.000660714
2,22.2032,1.37992,1.75614,1.19393,0.27812,0.1413,0.10435,0.04339,2.57308,3.12307,2.95983,0.00131424,0.00131424,0.00131424
3,27.8316,1.40561,1.46053,1.22829,0.58955,0.54348,0.54227,0.36186,1.37076,1.85217,1.53245,0.00195457,0.00195457,0.00195457
4,33.1571,1.409,1.22322,1.23014,0.81479,0.6087,0.75225,0.49163,1.2612,1.39144,1.49968,0.0019406,0.0019406,0.0019406
5,38.3841,1.37354,1.12221,1.20194,0.94318,0.77174,0.88373,0.64608,1.0267,0.94794,1.2363,0.0019208,0.0019208,0.0019208
6,44.0801,1.32991,1.02627,1.18558,0.78265,0.74367,0.81568,0.57577,1.05478,1.04316,1.25598,0.001901,0.001901,0.001901
7,49.5865,1.29999,0.97277,1.17325,0.80698,0.81801,0.87887,0.66093,0.98517,0.88406,1.18236,0.0018812,0.0018812,0.0018812
8,55.1122,1.29945,0.91847,1.15042,0.86751,0.8541,0.9211,0.72007,0.8537,0.78033,1.09235,0.0018614,0.0018614,0.0018614
9,60.3104,1.24469,0.88086,1.1387,0.96238,0.83419,0.92589,0.75253,0.79069,0.67861,1.05226,0.0018416,0.0018416,0.0018416
10,65.5418,1.24101,0.8552,1.12406,0.90273,0.86957,0.93146,0.74602,0.77485,0.64319,1.06794,0.0018218,0.0018218,0.0018218
11,70.7992,1.22864,0.86742,1.11853,0.94912,0.79348,0.93966,0.74002,0.85859,0.76039,1.08751,0.001802,0.001802,0.001802
12,76.021,1.20207,0.8145,1.10458,0.87123,0.88251,0.93326,0.73883,0.85265,0.68015,1.09972,0.0017822,0.0017822,0.0017822
13,81.3757,1.21876,0.82397,1.13357,0.94279,0.91304,0.95149,0.72315,0.85325,0.64381,1.07271,0.0017624,0.0017624,0.0017624
14,86.6534,1.18137,0.80848,1.09682,0.96295,0.84756,0.93988,0.76662,0.7586,0.5979,1.03627,0.0017426,0.0017426,0.0017426
15,92.1137,1.1422,0.79011,1.10751,0.93278,0.8913,0.94075,0.75469,0.75053,0.55844,1.02089,0.0017228,0.0017228,0.0017228
16,97.3782,1.15433,0.75579,1.09331,0.94946,0.86957,0.95561,0.7484,0.84151,0.60561,1.10585,0.001703,0.001703,0.001703
17,102.846,1.18332,0.753,1.09394,0.92942,0.93478,0.97537,0.78112,0.76335,0.52974,1.01694,0.0016832,0.0016832,0.0016832
18,108.067,1.1449,0.7344,1.08389,0.97574,0.93478,0.9752,0.79198,0.72053,0.50822,1.02764,0.0016634,0.0016634,0.0016634
19,113.292,1.13104,0.71514,1.08257,0.94475,0.8587,0.94126,0.75685,0.80741,0.57631,1.06495,0.0016436,0.0016436,0.0016436
20,118.526,1.09134,0.6913,1.06749,0.90846,0.97085,0.97977,0.79907,0.71429,0.46771,0.9849,0.0016238,0.0016238,0.0016238
21,124.165,1.11702,0.6909,1.07785,0.93881,0.8913,0.94985,0.79607,0.68241,0.53653,0.98171,0.001604,0.001604,0.001604
22,129.42,1.0873,0.64242,1.05939,0.94573,0.94716,0.97781,0.79722,0.71174,0.44326,1.0112,0.0015842,0.0015842,0.0015842
23,134.623,1.07013,0.65536,1.04871,0.95701,0.78261,0.90207,0.73637,0.78831,0.70989,1.0024,0.0015644,0.0015644,0.0015644
24,140.077,1.12658,0.67809,1.0723,0.9658,0.92093,0.97971,0.81266,0.70139,0.43529,0.98004,0.0015446,0.0015446,0.0015446
25,145.298,1.12232,0.64737,1.05343,0.97796,0.96453,0.98383,0.82006,0.69641,0.45775,0.99725,0.0015248,0.0015248,0.0015248
26,150.626,1.05175,0.62214,1.04709,0.97281,0.82609,0.92599,0.75817,0.7813,0.55218,1.06685,0.001505,0.001505,0.001505
27,155.91,1.10515,0.64628,1.05645,0.90983,0.91304,0.96379,0.78984,0.72633,0.49406,0.97864,0.0014852,0.0014852,0.0014852
28,161.207,1.10425,0.64504,1.05362,0.97648,0.9025,0.97334,0.81005,0.66338,0.45458,0.96346,0.0014654,0.0014654,0.0014654
29,166.401,1.07924,0.64907,1.05159,0.98003,0.88043,0.96319,0.8029,0.70508,0.47266,0.9706,0.0014456,0.0014456,0.0014456
30,171.836,1.05136,0.62479,1.04499,1,0.94474,0.98214,0.82101,0.68307,0.41304,0.97817,0.0014258,0.0014258,0.0014258
