epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82365,1.06114,892.015,0.26286,0,0,0,0,4.56071,47.5167,1.90955,0.00036,0.00036,0.00036
2,4.30854,3.29714,105.388,0.802,0,0,0,0,4.91417,11.2693,1.45373,0.000725348,0.000725348,0.000725348
3,6.05908,3.62195,12.9825,0.83203,0,0,0,0,4.83501,6.46601,1.53708,0.00107565,0.00107565,0.00107565
4,7.62633,4.06651,6.00262,0.88296,0,0,0,0,0,0,0,0.0014109,0.0014109,0.0014109
5,9.17138,4.00918,3.7037,0.91724,0,0,0,0,0,0.11133,0,0.0017311,0.0017311,0.0017311
6,10.6288,3.68856,2.85733,0.86149,0,0,0,0,4.2987,8.26251,1.55006,0.001802,0.001802,0.001802
7,12.2005,3.73127,2.30074,0.87712,0,0,0,0,3.63915,9.89928,1.47599,0.0017624,0.0017624,0.0017624
8,13.7254,3.65419,2.40084,0.85799,0,0,0,0,4.87006,7.9974,1.64793,0.0017228,0.0017228,0.0017228
9,15.2599,3.23208,2.03967,0.85395,0,0,0,0,0,0.14844,0,0.0016832,0.0016832,0.0016832
10,16.8305,3.48905,2.53575,0.83032,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,18.2764,3.38541,1.92904,0.83552,0,0,0,0,4.47081,7.91047,1.60665,0.001604,0.001604,0.001604
12,19.8245,3.58662,2.2016,0.81546,0,0,0,0,4.43266,7.7587,1.58095,0.0015644,0.0015644,0.0015644
13,21.4881,3.04512,1.69457,0.80325,0,0,0,0,4.68517,7.73715,1.55484,0.0015248,0.0015248,0.0015248
14,23.0684,3.43691,1.99724,0.83716,0,0,0,0,6.71751,7.97715,1.95177,0.0014852,0.0014852,0.0014852
15,24.5736,2.88943,1.62988,0.81663,0,0,0,0,5.16906,7.4185,1.68247,0.0014456,0.0014456,0.0014456
16,26.2103,3.25179,1.78256,0.84972,0,0,0,0,4.72937,8.10964,1.55105,0.001406,0.001406,0.001406
17,27.859,2.86725,1.85255,0.7447,0,0,0,0,4.50516,8.23743,1.52073,0.0013664,0.0013664,0.0013664
18,29.4213,3.20378,1.78122,0.84923,0,0,0,0,4.98847,8.34057,1.57287,0.0013268,0.0013268,0.0013268
19,30.9921,2.804,1.88759,0.77247,0,0,0,0,5.59631,9.39008,1.65648,0.0012872,0.0012872,0.0012872
20,32.5374,2.87551,1.54223,0.86847,0,0,0,0,5.99463,10.1189,1.68667,0.0012476,0.0012476,0.0012476
